epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7549,1.30573,2.58402,1.63089,0.00639,1,0.52697,0.26512,1.30661,3.17066,1.8696,0.0001,0.0001,0.0001
2,22.8721,1.03706,2.21006,1.58184,0.00611,0.95652,0.48262,0.34896,1.01007,3.07135,1.54601,0.00021274,0.00021274,0.00021274
3,34.2082,1.11671,1.73493,1.58288,0.00583,0.91304,0.47434,0.27073,1.08076,3.07382,1.68883,0.00031756,0.00031756,0.00031756
4,45.4694,1.15086,1.5579,1.56265,0.00611,0.95652,0.4449,0.24984,1.16482,3.06586,1.80007,0.00041446,0.00041446,0.00041446
5,56.7062,0.99254,1.32409,1.50836,0.00639,1,0.39214,0.23119,1.27498,3.03916,1.84638,0.00050344,0.00050344,0.00050344
6,68.0013,1.00548,1.27663,1.4401,0.85819,0.26087,0.44476,0.24051,1.2754,2.8396,2.03003,0.0005845,0.0005845,0.0005845
7,79.3036,0.9897,1.19835,1.39734,0.70907,0.47826,0.51631,0.27761,1.23863,2.55772,1.73525,0.00065764,0.00065764,0.00065764
8,90.523,1.04291,1.28095,1.5545,0.92026,0.50263,0.62037,0.34925,1.38111,2.43938,1.94136,0.00072286,0.00072286,0.00072286
9,101.729,1.01451,1.21355,1.46267,0.88605,0.47826,0.65618,0.37423,1.30522,2.40621,1.92973,0.00078016,0.00078016,0.00078016
10,113.867,1.08978,1.27712,1.52989,1,0.56216,0.73287,0.42336,1.23557,2.20423,1.92064,0.00082954,0.00082954,0.00082954
11,126.7,1.04164,1.12653,1.39859,0.7235,0.56522,0.79887,0.41056,1.42842,2.33781,2.21724,0.000871,0.000871,0.000871
12,139.331,0.95601,1.1461,1.39258,0.74748,0.52174,0.69846,0.37478,1.50665,2.16299,2.30092,0.00090454,0.00090454,0.00090454
13,152.533,1.01557,1.02221,1.38063,0.98223,0.52174,0.66141,0.26049,1.52358,2.1023,2.30116,0.00093016,0.00093016,0.00093016
14,165.471,0.96732,1.04588,1.38927,0.90654,0.47826,0.62228,0.25198,1.5936,2.05272,2.73052,0.00094786,0.00094786,0.00094786
15,178.034,0.99064,1.05435,1.38273,0.90654,0.47826,0.62228,0.25198,1.5936,2.05272,2.73052,0.00095764,0.00095764,0.00095764
16,190.824,1.0247,1.06715,1.42356,0.74839,0.78261,0.84779,0.53704,1.26515,1.68086,1.77799,0.0009595,0.0009595,0.0009595
17,203.575,0.99652,0.98622,1.36048,0.77353,0.86957,0.91488,0.65475,1.067,1.52362,1.52208,0.000944,0.000944,0.000944
18,216.515,1.04343,1.14999,1.49299,0.70285,0.91304,0.85485,0.62922,0.98538,1.60136,1.44165,0.000878,0.000878,0.000878
19,229.447,0.8817,0.9903,1.35656,0.70285,0.91304,0.85485,0.62922,0.98538,1.60136,1.44165,0.000812,0.000812,0.000812
20,242.174,0.91642,1.01724,1.27057,0.62917,0.86957,0.83485,0.59238,1.08431,1.66592,1.54984,0.000746,0.000746,0.000746
21,255.509,0.8346,1.38535,1.51173,0.94446,0.91304,0.98114,0.65184,1.13271,1.43042,1.59207,0.00068,0.00068,0.00068
22,268.335,0.81417,1.37184,1.49072,0.99459,1,0.995,0.6111,1.26333,1.32589,1.68209,0.000614,0.000614,0.000614
23,281.271,0.72968,1.35847,1.41843,0.99459,1,0.995,0.6111,1.26333,1.32589,1.68209,0.000548,0.000548,0.000548
24,293.92,0.71599,1.2621,1.34538,0.99716,1,0.995,0.6078,1.31887,1.23814,1.68516,0.000482,0.000482,0.000482
25,306.671,0.77784,1.20716,1.3379,1,0.99761,0.995,0.61126,1.28782,1.21668,1.66663,0.000416,0.000416,0.000416
26,319.402,0.7155,1.12529,1.34523,1,0.99679,0.995,0.63086,1.23878,1.18472,1.61973,0.00035,0.00035,0.00035
27,336.492,0.69963,1.1802,1.34307,1,0.99679,0.995,0.63086,1.23878,1.18472,1.61973,0.000284,0.000284,0.000284
28,352.959,0.66518,1.10238,1.28233,1,0.99657,0.995,0.65726,1.20978,1.1544,1.58285,0.000218,0.000218,0.000218
29,366.497,0.68876,1.12991,1.33291,1,0.99715,0.995,0.67151,1.19852,1.1494,1.55293,0.000152,0.000152,0.000152
30,379.291,0.68753,1.1154,1.31904,1,0.99749,0.995,0.65512,1.1906,1.14351,1.53515,8.6e-05,8.6e-05,8.6e-05
